n, time
201, 10
401, 30
601, 80
801, 260
1001, 210
1201, 430
1401, 510
1601, 810
1801, 870
2001, 1100
2201, 1320
2401, 1710
2601, 1840
2801, 2020
3001, 2330
3201, 3380
3401, 3590
3601, 4480
3801, 4570
4001, 5030
4201, 5440
4401, 5930
4601, 6971
4801, 7700
5001, 8730
5201, 10918
5401, 13570
5601, 15212
5801, 18370
6001, 19900
6201, 21500
6401, 23081
6601, 25840
6801, 27880
7001, 29270
7201, 31550
7401, 33072
7601, 35192
7801, 37913
8001, 39921
8201, 41156
8401, 43711
8601, 45110
8801, 48690
9001, 59097
9201, 63314
9401, 67918
9601, 71001
9801, 75506
10001, 79262
