n, time
201, 0
401, 0
601, 0
801, 10
1001, 0
1201, 20
1401, 10
1601, 10
1801, 20
2001, 20
2201, 10
2401, 20
2601, 30
2801, 20
3001, 30
3201, 30
3401, 30
3601, 30
3801, 30
4001, 40
4201, 40
4401, 40
4601, 50
4801, 50
5001, 50
5201, 50
5401, 50
5601, 55
5801, 55
6001, 55
6201, 55
6401, 58
6601, 60
6801, 65
7001, 65
7201, 70
7401, 75
7601, 75
7801, 80
8001, 80
8201, 85
8401, 85
8601, 90
8801, 90
9001, 90
9201, 95
9401, 100
9601, 100
9801, 100
10001, 100
