n, time
201, 10
401, 20
601, 20
801, 40
1001, 50
1201, 130
1401, 60
1601, 70
1801, 90
2001, 110
2201, 120
2401, 140
2601, 140
2801, 180
3001, 160
3201, 210
3401, 160
3601, 170
3801, 220
4001, 200
4201, 240
4401, 250
4601, 240
4801, 290
5001, 260
5201, 270
5401, 310
5601, 290
5801, 340
6001, 320
6201, 390
6401, 310
6601, 420
6801, 460
7001, 450
7201, 420
7401, 470
7601, 400
7801, 421
8001, 550
8201, 570
8401, 580
8601, 640
8801, 510
9001, 530
9201, 530
9401, 550
9601, 610
9801, 620
10001, 800
